category,review_title,review_content,rating
Headsets,Wireless gaming headset ,This gaming headset ticks all the boxes # looks grate # built to last #  excellent sound & mic # comfortable to wear # easy to set up what more could you ask for.,5
Headsets,"Good for those with a big head, low budget","Easy setup, rated for 6 hours battery but mine has lasted for sessions over 8, good loudness from the earcups, has a comfortable seal And thick padding around the ears for a person with a med to big head. Would look funny on a small child though as they are large headphones. Mike sounds ok for price.  Lighting effects work and look good.  Decent purchase would recommend for casual gamer needing the benefit of low cost audio solution. Not for the audiophile.Read full review...",3
Headsets,MezumiWireless Gaming Headset,"I originally bought this wireless headset for my Xbox (latest model) with the 3.5 plug jack in the headset. Unfortunately it didn't work, but nothing seems to work with the Xbox. So I connected them to my Dell laptop. They are just the best very crisp and clear, very easy to set-up. They are a very reasonable price for a high quality headset. I find that I can wear them for long extended periods. Also with them being so adjustable my wife,my  two boys plus myself can use them they are so versatile for the whole family to use.Very comfortable fit around my head with the padding on the ears soft and keeps outside noise out adding to my listening pleasure. Being wireless is such a bonus for me as not only can I move about the room freely if need but I can actually go into another room without any loss of reception. I'm no reviewer by any means but IMHO. this wireless headset is well worth recommending to anyone that wants a decent headset with excellent audio for a very reasonable price. All I have left to say is go and get yourself a set you won't be disappointed and you will definitely not be ripped off by ending up with a dud headset. I don't mind admitting that I have to watch the way I spend money but this headset was money well spent. Anyhow I hope this helps you on your search and decision when you you and buy. That's up to you as I'm happy and that's what really counts to me when it comes down to itRead full review...",5
Headsets,HW- S2 great headset.,"This is my 2nd Mezumi headset, It kills the first one , better range , lasts longer before re-charge & more comfortable fit. I had to buy a longer charge lead  so I could plug it in while wearing . Not really needed for my length of use per day.Read full review...",5
Headsets,BEST HEADPHONES I'VE PURCHASED IN MY ENTIRE LIFE,"This is probably the best headset I've purchased till date. The sound quality is superb and so is the mic. SOund Booster works perfectly as I tuned the headphone's volume to full using the key on left ear bud and controlling the volume from my PC's volume controller.Please remember that BUILD QUALITY is Superb and would definetly recommend this to anyone. Cost is 55 bucks only but quality can be comparable with Seinheinsser's 1000$ Headphones and still I'd prefer this one.Battery Lasts longer than 8 hrs for sure, not sure why the manufacturer has mentioned only 6 hrs. Even the range is more than 10 meters.I love y'll for making this amazing product. The lights are actually so perfect as it matches my build and considering the fact that these headphones are wireless, I'd defintely recommend this if your Battle station is of Solid Red Color.Read full review...",5
Headsets,"Great Headset, worth the 50$!","This headsert is great for the value! I recently bought it and everything about this headset is great for the money. It's increadibly comfortable, although it fits larger heads better (would not recommend for younger children or people with small heads), and i could comfortably wear it for a couple of hours. There is no delay, both receiving and transmitting, and no audio skips. The sound quality is quite good, it covers highs and bass pretty well. You won't be getting amazing sound quality, as this is a 50$ headset, but nonetheless the sound quality is pretty good. Battery life was pretty long (about 6 hours) and lasted gaming sessions. It takes around 4H to fully charge from 0 to 100%. The controls on the side of the headset work well.Read full review...",5
Headsets,"Works well , just be aware it dose not connect to Xbox wirelessly .","Happy with product , as described",4
Headsets,"Haven’t worked out how to wifi it yet, glad can still use it tho",Verified purchase:  Yes | Condition: new | Sold by: oz_electronics_inc,5
Headsets,All good,"All good, product as described",5
Headsets,good price - probably the best low cost headset on the market -,"no issues, good distance on blutooth, clear audio and microphone. decent battery life for what you pay.",5
Headsets,Good price,Christmas present have been able to use it yet,4
Headsets,Great Headphones,"These are great Headphones with a very nice cripy clear Bass & Treble response and are very comfortable to wear, they do not disappoint me as I'm very satisfied with this Product.",5
Headsets,PS4 HeasSet,This headset looks great. Most kids will twist & play with the mic & they stop working. They can't damage this one as it's built in! Great design 👍,5
Headsets,.,"Wont go wireless for xbox one, other than that, theyre good",4
Headsets,Mic isn’t great,"Good sound but mic isn’t great, teammates sometimes struggle to hear me",3
Headsets,Good gear,Correct specification and excellent performance,5
Headsets,Good sound and comfortable.,I find them very comfortable and they have great sound quality for the price.,5
Headsets,Epic Headphones,Honestly great quality and reasonably priced. Awesome base and near perfect sound quality,5
Headsets,there not working and i have asked if i can return them and havent heard,not working,2
Headsets,Great price for great product,Verified purchase:  Yes | Condition: new | Sold by: oz_electronics_inc,5
Headsets,Nice gary,Good comfy headset!,4
Headsets,Fantastic,Best value for money ever!!! Thank you,5
Headsets,Misleading,Wireless gaming headset that doesn’t work wireless on Xbox..... works fine plugged in but not wireless.....,2
