Sales,Order,Units,Entropy,Room,Suplier,Distribusi
0,580,3.77,3,1,2,4
0,800,3.31,1,0,3,3
1,580,3.2,2,0,2,2
1,700,4,3,0,3,1
0,420,3.92,1,0,3,4
1,600,3.89,1,0,2,1
1,780,3.8,3,0,2,3
0,740,3.54,2,0,1,1
1,640,3.63,3,1,1,1
0,540,3.16,3,0,2,3
0,580,3.5,3,0,1,2
0,740,3.34,2,0,2,4
0,580,3.02,3,1,2,2
0,460,2.87,1,0,3,2
0,640,3.38,1,0,1,3
1,600,3.56,3,0,1,2
1,660,2.91,2,0,2,3
0,340,2.9,1,0,1,1
1,460,3.64,3,1,3,1
0,460,2.98,2,1,3,1
1,560,3.59,2,0,2,2
0,540,3.28,2,1,2,3
0,680,3.99,2,1,3,3
1,480,3.02,1,0,3,1
0,800,3.47,1,0,3,3
0,800,2.9,2,1,2,2
1,720,3.5,1,0,1,3
0,620,3.58,1,0,2,2
0,540,3.02,3,0,1,4
0,480,3.43,1,0,1,2
1,720,3.42,3,0,2,2
0,580,3.29,1,1,3,4
0,600,3.28,1,1,2,3
0,380,3.38,1,0,3,2
0,420,2.67,3,1,3,3
1,800,3.53,3,0,1,1
0,620,3.05,2,1,1,2
1,660,3.49,2,1,1,2
0,480,4,2,1,2,2
0,500,2.86,1,0,2,4
0,700,3.45,2,0,2,3
0,440,2.76,2,0,3,2
1,520,3.81,2,0,2,1
1,680,2.96,2,1,1,3
0,620,3.22,3,0,3,2
0,540,3.04,1,1,1,1
0,800,3.91,3,1,2,3
0,680,3.34,3,0,1,2
0,440,3.17,3,0,3,2
0,680,3.64,2,1,3,3
0,640,3.73,2,1,1,3
0,660,3.31,2,1,2,4
0,620,3.21,1,0,3,4
1,520,4,2,1,1,2
1,540,3.55,3,1,3,4
1,740,3.52,2,0,1,4
0,640,3.35,1,0,2,3
1,520,3.3,1,0,1,2
1,620,3.95,1,0,1,3
0,520,3.51,2,1,1,2
0,640,3.81,2,1,3,2
0,680,3.11,2,1,1,2
0,440,3.15,1,1,3,2
1,520,3.19,1,1,1,3
1,620,3.95,3,0,3,3
1,520,3.9,2,1,3,3
0,380,3.34,3,0,2,3
0,560,3.24,2,1,1,4
1,600,3.64,1,0,3,3
1,680,3.46,2,0,3,2
0,500,2.81,3,1,3,3
1,640,3.95,3,1,3,2
0,540,3.33,3,1,1,3
1,680,3.67,3,0,3,2
0,660,3.32,1,1,2,1
0,520,3.12,3,0,1,2
1,600,2.98,1,1,2,2
0,460,3.77,2,0,3,3
1,580,3.58,3,1,2,1
1,680,3,2,1,1,4
1,660,3.14,2,1,2,2
0,660,3.94,2,1,1,2
0,360,3.27,1,1,3,3
0,660,3.45,3,0,2,4
0,520,3.1,2,1,2,4
1,440,3.39,3,0,3,2
0,600,3.31,2,1,3,4
1,800,3.22,1,1,3,1
1,660,3.7,1,1,1,4
0,800,3.15,2,1,1,4
0,420,2.26,2,1,2,4
1,620,3.45,3,0,3,2
0,800,2.78,1,0,2,2
0,680,3.7,2,1,1,2
0,800,3.97,2,0,1,1
0,480,2.55,2,0,2,1
0,520,3.25,2,0,1,3
0,560,3.16,3,0,2,1
0,460,3.07,2,0,2,2
0,540,3.5,2,1,3,2
0,720,3.4,2,0,1,3
0,800,3.89,3,0,1,2
1,540,3.77,3,0,1,2
1,680,3.76,1,1,2,3
1,680,2.42,1,1,1,1
1,620,3.37,3,1,1,1
0,560,3.78,1,1,3,2
0,560,3.49,3,0,1,4
0,620,3.63,3,1,2,2
1,800,4,2,0,3,2
0,640,3.12,2,1,1,3
0,540,2.7,2,1,1,2
0,700,3.65,1,0,3,2
1,540,3.49,3,1,1,2
0,540,3.51,3,1,3,2
0,660,4,1,1,3,1
1,480,2.62,2,1,1,2
0,420,3.02,1,1,3,1
1,740,3.86,3,0,2,2
0,580,3.36,3,1,2,2
0,640,3.17,2,0,2,2
0,640,3.51,3,1,3,2
1,800,3.05,1,1,3,2
1,660,3.88,1,0,1,2
1,600,3.38,3,0,3,3
1,620,3.75,2,0,2,2
1,460,3.99,3,1,3,3
0,620,4,2,0,2,2
0,560,3.04,2,0,1,3
0,460,2.63,3,0,2,2
0,700,3.65,1,1,1,2
0,600,3.89,2,1,3,3


